data_referencia|cod_ibge|txt_nome_municipio|txt_sigla_uf|num_ano_financiamento|qtd_uh_financiadas|vlr_financiamento|vlr_subsidio
01/11/2024|110001|Alta Floresta D'Oeste |RO|2009|2|106000|28406
01/11/2024|110001|Alta Floresta D'Oeste |RO|2010|11|598983,79|129620
01/11/2024|110001|Alta Floresta D'Oeste |RO|2011|9|450560,2|35436
01/11/2024|110001|Alta Floresta D'Oeste |RO|2012|26|1711299,54|532644,3999999999
01/11/2024|110001|Alta Floresta D'Oeste |RO|2013|33|2331474,5400000005|690322,69
01/11/2024|110001|Alta Floresta D'Oeste |RO|2014|42|3001273,46|924962,69
01/11/2024|110001|Alta Floresta D'Oeste |RO|2015|43|3017464,2300000004|816503,3099999999
01/11/2024|110001|Alta Floresta D'Oeste |RO|2016|25|1862638,58|302075,69
01/11/2024|110001|Alta Floresta D'Oeste |RO|2017|15|1156655|243058,31
01/11/2024|110001|Alta Floresta D'Oeste |RO|2018|17|1598038,89|271553,76
01/11/2024|110001|Alta Floresta D'Oeste |RO|2019|9|778097,62|139632,14
01/11/2024|110001|Alta Floresta D'Oeste |RO|2020|19|1859866,67|384218,22
01/11/2024|110001|Alta Floresta D'Oeste |RO|2021|2|199983,54|73505,18
01/11/2024|110001|Alta Floresta D'Oeste |RO|2022|8|766674,8900000001|136845,29
01/11/2024|110001|Alta Floresta D'Oeste |RO|2023|24|3065153,7800000003|470206,34
01/11/2024|110001|Alta Floresta D'Oeste |RO|2024|27|4314909,95|335437,25
01/11/2024|110002|Ariquemes |RO|2009|64|2947428,8299999996|769513,3
01/11/2024|110002|Ariquemes |RO|2010|94|5414181,6899999995|1387931
01/11/2024|110002|Ariquemes |RO|2011|115|7737559,300000001|536683,6
01/11/2024|110002|Ariquemes |RO|2012|108|7850479,02|1832872,9500000002
01/11/2024|110002|Ariquemes |RO|2013|173|14427670,229999997|3374067,470000001
01/11/2024|110002|Ariquemes |RO|2014|174|15157080,210000003|3876569,07
01/11/2024|110002|Ariquemes |RO|2015|233|21182376,89|5448985,010000002
01/11/2024|110002|Ariquemes |RO|2016|191|17645363,46|3681991,4700000007
01/11/2024|110002|Ariquemes |RO|2017|218|21139675,060000002|4530964,07
01/11/2024|110002|Ariquemes |RO|2018|191|18757707,11|4695332,1
01/11/2024|110002|Ariquemes |RO|2019|134|14073010,200000001|2759372,320000001
01/11/2024|110002|Ariquemes |RO|2020|148|15439420,95|3384975,17
01/11/2024|110002|Ariquemes |RO|2021|90|9682017,120000001|2228634,46
01/11/2024|110002|Ariquemes |RO|2022|109|14021589,250000002|1495133,0500000003
01/11/2024|110002|Ariquemes |RO|2023|133|21307837,299999997|2088908,200000001
01/11/2024|110002|Ariquemes |RO|2024|170|28454146,73|2897440,8099999996
01/11/2024|110003|Cabixi |RO|2024|1|152000|9188,55
01/11/2024|110004|Cacoal |RO|2009|115|5341445,32|1510222,85
01/11/2024|110004|Cacoal |RO|2010|197|10124904,52|3190662
01/11/2024|110004|Cacoal |RO|2011|125|8127136,270000001|753630,6
01/11/2024|110004|Cacoal |RO|2012|122|8618960,32|2279280,93
01/11/2024|110004|Cacoal |RO|2013|161|12336601,18|3003031
01/11/2024|110004|Cacoal |RO|2014|280|21448777,16|5221906,790000001
